Virus.name,District,Accession.number,Collection.date
hCoV-19/India/GJ-GBRC36/2020,Ahmedabad,EPI_ISL_444467,29/04/2020
hCoV-19/India/GJ-GBRC360/2020,Vadodara,EPI_ISL_514610,15/06/2020
hCoV-19/India/GJ-GBRC361a/2020,Kalol,EPI_ISL_514611,05/06/2020
hCoV-19/India/GJ-GBRC37/2020,Ahmedabad,EPI_ISL_444468,29/04/2020
hCoV-19/India/GJ-GBRC38/2020,Ahmedabad,EPI_ISL_444469,29/04/2020
hCoV-19/India/GJ-GBRC39/2020,Ahmedabad,EPI_ISL_444470,29/04/2020
hCoV-19/India/GJ-GBRC4/2020,Ahmedabad,EPI_ISL_435051,13/04/2020
hCoV-19/India/GJ-GBRC40/2020,Ahmedabad,EPI_ISL_444471,29/04/2020
hCoV-19/India/GJ-GBRC41/2020,Ahmedabad,EPI_ISL_444472,29/04/2020
hCoV-19/India/GJ-GBRC42/2020,Ahmedabad,EPI_ISL_444473,29/04/2020
hCoV-19/India/GJ-GBRC43/2020,Ahmedabad,EPI_ISL_444474,29/04/2020
hCoV-19/India/GJ-GBRC44/2020,Ahmedabad,EPI_ISL_444475,29/04/2020
hCoV-19/India/GJ-GBRC45/2020,Ahmedabad,EPI_ISL_444476,29/04/2020
hCoV-19/India/GJ-GBRC46/2020,Ahmedabad,EPI_ISL_444477,29/04/2020
hCoV-19/India/GJ-GBRC47/2020,Ahmedabad,EPI_ISL_444478,30/04/2020
hCoV-19/India/GJ-GBRC48/2020,Ahmedabad,EPI_ISL_444479,29/04/2020
hCoV-19/India/GJ-GBRC49/2020,Ahmedabad,EPI_ISL_444480,30/04/2020
hCoV-19/India/GJ-GBRC5/2020,Ahmedabad,EPI_ISL_435052,13/04/2020
hCoV-19/India/GJ-GBRC50/2020,Ahmedabad,EPI_ISL_444481,30/04/2020
hCoV-19/India/GJ-GBRC51/2020,Prantij,EPI_ISL_444482,02/05/2020
hCoV-19/India/GJ-GBRC52/2020,Prantij,EPI_ISL_444483,02/05/2020
hCoV-19/India/GJ-GBRC53/2020,Modasa,EPI_ISL_444484,04/05/2020
hCoV-19/India/GJ-GBRC54/2020,Modasa,EPI_ISL_444485,04/05/2020
hCoV-19/India/GJ-GBRC55/2020,Dhansura,EPI_ISL_444486,04/05/2020
hCoV-19/India/GJ-GBRC56a/2020,Ahmedabad,EPI_ISL_447030,03/05/2020
hCoV-19/India/GJ-GBRC57/2020,Ahmedabad,EPI_ISL_447032,03/05/2020
hCoV-19/India/GJ-GBRC58/2020,Ahmedabad,EPI_ISL_447033,03/05/2020
hCoV-19/India/GJ-GBRC59/2020,Ahmedabad,EPI_ISL_447034,03/05/2020
hCoV-19/India/GJ-GBRC6/2020,Ahmedabad,EPI_ISL_435053,07/04/2020
hCoV-19/India/GJ-GBRC60/2020,Ahmedabad,EPI_ISL_447035,03/05/2020
hCoV-19/India/GJ-GBRC61/2020,Ahmedabad,EPI_ISL_447036,03/05/2020
hCoV-19/India/GJ-GBRC62/2020,Ahmedabad,EPI_ISL_447037,03/05/2020
hCoV-19/India/GJ-GBRC63/2020,Ahmedabad,EPI_ISL_447038,03/05/2020
hCoV-19/India/GJ-GBRC64/2020,Ahmedabad,EPI_ISL_447039,03/05/2020
hCoV-19/India/GJ-GBRC65a/2020,Ahmedabad,EPI_ISL_447040,03/05/2020
hCoV-19/India/GJ-GBRC66/2020,Ahmedabad,EPI_ISL_447042,03/05/2020
hCoV-19/India/GJ-GBRC67a/2020,Ahmedabad,EPI_ISL_447043,03/05/2020
hCoV-19/India/GJ-GBRC68/2020,Ahmedabad,EPI_ISL_447045,03/05/2020
hCoV-19/India/GJ-GBRC69/2020,Ahmedabad,EPI_ISL_447046,04/05/2020
hCoV-19/India/GJ-GBRC7/2020,Ahmedabad,EPI_ISL_435054,14/04/2020
hCoV-19/India/GJ-GBRC70/2020,Gandhinagar,EPI_ISL_447047,29/04/2020
hCoV-19/India/GJ-GBRC71/2020,Gandhinagar,EPI_ISL_447048,27/04/2020
hCoV-19/India/GJ-GBRC72a/2020,Gandhinagar,EPI_ISL_447049,29/04/2020
hCoV-19/India/GJ-GBRC73/2020,Gandhinagar,EPI_ISL_447051,29/04/2020
hCoV-19/India/GJ-GBRC74/2020,Gandhinagar,EPI_ISL_447052,02/05/2020
hCoV-19/India/GJ-GBRC75/2020,Gandhinagar,EPI_ISL_447053,29/04/2020
hCoV-19/India/GJ-GBRC76/2020,Modasa,EPI_ISL_447534,05/05/2020
hCoV-19/India/GJ-GBRC77/2020,Modasa,EPI_ISL_447535,05/05/2020
hCoV-19/India/GJ-GBRC78a/2020,Modasa,EPI_ISL_447536,05/05/2020
hCoV-19/India/GJ-GBRC79a/2020,Modasa,EPI_ISL_447538,05/05/2020
hCoV-19/India/GJ-GBRC8/2020,Gandhinagar,EPI_ISL_435055,22/04/2020
hCoV-19/India/GJ-GBRC80/2020,Rajkot,EPI_ISL_455015,28/04/2020
hCoV-19/India/GJ-GBRC81a/2020,Modasa,EPI_ISL_447540,05/05/2020
hCoV-19/India/GJ-GBRC82a/2020,Modasa,EPI_ISL_447542,05/05/2020
hCoV-19/India/GJ-GBRC83/2020,Modasa,EPI_ISL_447544,05/05/2020
hCoV-19/India/GJ-GBRC84/2020,Prantij,EPI_ISL_447545,05/05/2020
hCoV-19/India/GJ-GBRC85/2020,Himatnagar,EPI_ISL_447546,05/05/2020
hCoV-19/India/GJ-GBRC86/2020,Gandhinagar,EPI_ISL_447547,28/04/2020
hCoV-19/India/GJ-GBRC87/2020,Dahegam,EPI_ISL_447548,28/04/2020
hCoV-19/India/GJ-GBRC88a/2020,Dahegam,EPI_ISL_447549,03/05/2020
hCoV-19/India/GJ-GBRC89/2020,Gandhinagar,EPI_ISL_447551,25/04/2020
hCoV-19/India/GJ-GBRC9/2020,Mansa,EPI_ISL_435056,21/04/2020
hCoV-19/India/GJ-GBRC90/2020,Gandhinagar,EPI_ISL_447552,02/05/2020
hCoV-19/India/GJ-GBRC91/2020,Gandhinagar,EPI_ISL_447553,27/04/2020
hCoV-19/India/GJ-GBRC92/2020,Gandhinagar,EPI_ISL_447554,26/04/2020
hCoV-19/India/GJ-GBRC93/2020,Mansa,EPI_ISL_447555,28/04/2020
hCoV-19/India/GJ-GBRC94/2020,Junagadh,EPI_ISL_450781,09/05/2020
hCoV-19/India/GJ-GBRC95a/2020,Ahmedabad,EPI_ISL_450782,11/04/2020
hCoV-19/India/GJ-GBRC96/2020,Botad,EPI_ISL_450784,09/05/2020
hCoV-19/India/GJ-GBRC97a/2020,Una,EPI_ISL_450785,10/05/2020
hCoV-19/India/GJ-GBRC98/2020,Una,EPI_ISL_450787,11/05/2020
hCoV-19/India/GJ-GBRC99/2020,Rajkot,EPI_ISL_450788,06/05/2020
hCoV-19/India/GJ-GBRC-339/2020,Modasa,EPI_ISL_512077,09/07/2020
hCoV-19/India/GJ-GBRC-362a/2020,Ahmedabad,EPI_ISL_524713,18/06/2020
hCoV-19/India/GJ-GBRC-363/2020,Ahmedabad,EPI_ISL_524715,18/06/2020
hCoV-19/India/GJ-GBRC-364a/2020,Daskroi,EPI_ISL_524716,18/06/2020
hCoV-19/India/GJ-GBRC-365/2020,Daskoi,EPI_ISL_524718,18/06/2020
hCoV-19/India/GJ-GBRC-366a/2020,Dhandhuka,EPI_ISL_524719,18/06/2020
hCoV-19/India/GJ-GBRC-367a/2020,Ahmedabad,EPI_ISL_524721,18/06/2020
hCoV-19/India/GJ-GBRC-368a/2020,Dahegam,EPI_ISL_524723,18/06/2020
hCoV-19/India/GJ-GBRC-369/2020,Daskroi,EPI_ISL_524725,18/06/2020
hCoV-19/India/GJ-GBRC-370/2020,Ahmedabad,EPI_ISL_524726,18/06/2020
hCoV-19/India/GJ-GBRC-371/2020,Ahmedabad,EPI_ISL_524727,18/06/2020
hCoV-19/India/GJ-GBRC-372/2020,Ahmedabad,EPI_ISL_524728,18/06/2020
hCoV-19/India/GJ-GBRC-373/2020,Ahmedabad,EPI_ISL_524729,18/06/2020
hCoV-19/India/GJ-GBRC-374a/2020,Vadodara,EPI_ISL_524730,15/06/2020
hCoV-19/India/GJ-GBRC-375/2020,Modasa,EPI_ISL_524732,09/07/2020
hCoV-19/India/GJ-GBRC-376a/2020,Patan,EPI_ISL_524733,06/07/2020
hCoV-19/India/GJ-GBRC-377a/2020,Khambhaliya,EPI_ISL_524735,11/07/2020
hCoV-19/India/GJ-GBRC-378/2020,Gandhinagar,EPI_ISL_524737,18/06/2020
hCoV-19/India/GJ-GBRC-379/2020,Mansa,EPI_ISL_524738,18/06/2020
hCoV-19/India/GJ-GBRC-380a/2020,Gandhinagar,EPI_ISL_524739,18/06/2020
hCoV-19/India/GJ-GBRC-381/2020,Gandhinagar,EPI_ISL_524741,18/06/2020
hCoV-19/India/GJ-GBRC-382a/2020,Ahmedabad,EPI_ISL_525419,18/06/2020
hCoV-19/India/GJ-GBRC-383a/2020,Gandhinagar,EPI_ISL_524742,18/06/2020
hCoV-19/India/GJ-GBRC-384a/2020,Gandhinagar,EPI_ISL_524744,22/06/2020
hCoV-19/India/GJ-GBRC-385/2020,Jamnagar,EPI_ISL_524746,11/07/2020
hCoV-19/India/GJ-GBRC-386a/2020,Jamnagar,EPI_ISL_524747,11/07/2020
hCoV-19/India/GJ-GBRC-387a/2020,Jamnagar,EPI_ISL_524749,11/07/2020
hCoV-19/India/GJ-GBRC-388/2020,Jamnagar,EPI_ISL_524751,11/07/2020
hCoV-19/India/GJ-GBRC-389a/2020,Patan,EPI_ISL_524752,06/07/2020
hCoV-19/India/GJ-GBRC-390a/2020,Patan,EPI_ISL_524754,06/07/2020
hCoV-19/India/GJ-GBRC-391a/2020,Patan,EPI_ISL_524756,06/07/2020
hCoV-19/India/GJ-GBRC-392a/2020,Patan,EPI_ISL_524758,06/07/2020
hCoV-19/India/GJ-GBRC-393a/2020,Radhanpur,EPI_ISL_524760,06/07/2020
hCoV-19/India/GJ-GBRC-394a/2020,Patan,EPI_ISL_524762,06/07/2020
hCoV-19/India/GJ-GBRC-395a/2020,Patan,EPI_ISL_524764,06/07/2020
hCoV-19/India/GJ-GBRC-396/2020,Siddhpur,EPI_ISL_524766,06/07/2020
hCoV-19/India/GJ-GBRC-397a/2020,Ahmedabad,EPI_ISL_525421,25/06/2020
hCoV-19/India/GJ-GBRC-398a/2020,Ahmedabad,EPI_ISL_586513,25/06/2020
hCoV-19/India/GJ-GBRC-399a/2020,Daskroi,EPI_ISL_586515,25/06/2020
hCoV-19/India/GJ-GBRC-400a/2020,Ahmedabad,EPI_ISL_586517,25/06/2020
hCoV-19/India/GJ-GBRC-401/2020,Ahmedabad,EPI_ISL_586519,25/06/2020
hCoV-19/India/GJ-GBRC-402a/2020,Ahmedabad,EPI_ISL_586520,25/06/2020
hCoV-19/India/GJ-GBRC-403a/2020,Ahmedabad,EPI_ISL_586522,25/06/2020
hCoV-19/India/GJ-GBRC-404a/2020,Ahmedabad,EPI_ISL_586524,25/06/2020
hCoV-19/India/GJ-GBRC-405a/2020,Ahmedabad,EPI_ISL_586526,25/06/2020
hCoV-19/India/GJ-GBRC-406a/2020,Ahmedabad,EPI_ISL_590689,25/06/2020
hCoV-19/India/GJ-GBRC-407a/2020,Ahmedabad,EPI_ISL_586529,25/06/2020
hCoV-19/India/GJ-GBRC-408a/2020,Bodeli,EPI_ISL_586531,18/07/2020
hCoV-19/India/GJ-GBRC-409a/2020,Bodeli,EPI_ISL_586533,18/07/2020
hCoV-19/India/GJ-GBRC-410/2020,Bodeli,EPI_ISL_586535,18/07/2020
hCoV-19/India/GJ-GBRC-411/2020,Limkheda,EPI_ISL_586536,18/07/2020
hCoV-19/India/GJ-GBRC-412a/2020,Fatepura,EPI_ISL_586537,18/07/2020
hCoV-19/India/GJ-GBRC-413a/2020,Dahod,EPI_ISL_586539,18/07/2020
hCoV-19/India/GJ-GBRC-414/2020,Dahod,EPI_ISL_586541,18/07/2020
hCoV-19/India/GJ-GBRC-415a/2020,Jamkhambhaliya,EPI_ISL_586542,11/07/2020
hCoV-19/India/GJ-GBRC-416a/2020,Kalyanpur,EPI_ISL_586544,11/07/2020
hCoV-19/India/GJ-GBRC-417a/2020,Godhra,EPI_ISL_586546,18/07/2020
hCoV-19/India/GJ-GBRC-418/2020,Godhra,EPI_ISL_586548,18/07/2020
hCoV-19/India/GJ-GBRC-419a/2020,Sutrapada,EPI_ISL_586549,14/07/2020
hCoV-19/India/GJ-GBRC-420/2020,Veraval,EPI_ISL_590690,14/07/2020
hCoV-19/India/GJ-GBRC-421a/2020,Veraval,EPI_ISL_590691,14/07/2020
hCoV-19/India/GJ-GBRC-422a/2020,Sutrapada,EPI_ISL_586551,14/07/2020
hCoV-19/India/GJ-GBRC-423a/2020,Veraval,EPI_ISL_586553,14/07/2020
hCoV-19/India/GJ-GBRC-424a/2020,Talala,EPI_ISL_586555,14/07/2020
hCoV-19/India/GJ-GBRC-425/2020,Una,EPI_ISL_586557,14/07/2020
hCoV-19/India/GJ-GBRC-426a/2020,Sutrapada,EPI_ISL_586558,14/07/2020
hCoV-19/India/GJ-GBRC-427a/2020,Kodinar,EPI_ISL_586560,14/07/2020
hCoV-19/India/GJ-GBRC-428a/2020,Mangrol,EPI_ISL_586562,15/07/2020
hCoV-19/India/GJ-GBRC-429/2020,Junagadh,EPI_ISL_586564,15/07/2020
hCoV-19/India/GJ-GBRC-430a/2020,Mangrol,EPI_ISL_586565,15/07/2020
hCoV-19/India/GJ-GBRC-431a/2020,Mehsana,EPI_ISL_586567,06/07/2020
hCoV-19/India/GJ-GBRC-432/2020,Ahmedabad,EPI_ISL_586569,03/09/2020
hCoV-19/India/GJ-GBRC-433/2020,Ahmedabad,EPI_ISL_586570,01/09/2020
