Virus.name,District,Accession.number,Collection.date
hCoV-19/India/GJ-GBRC159a/2020,Ahmedabad,EPI_ISL_461489,27/05/2020
hCoV-19/India/GJ-GBRC16/2020,Surat,EPI_ISL_437444,26/04/2020
hCoV-19/India/GJ-GBRC160a/2020,Ahmedabad,EPI_ISL_461491,27/05/2020
hCoV-19/India/GJ-GBRC161a/2020,Ahmedabad,EPI_ISL_461493,27/05/2020
hCoV-19/India/GJ-GBRC162a/2020,Ahmedabad,EPI_ISL_461495,27/05/2020
hCoV-19/India/GJ-GBRC163a/2020,Ahmedabad,EPI_ISL_461497,27/05/2020
hCoV-19/India/GJ-GBRC164/2020,Ahmedabad,EPI_ISL_461499,27/05/2020
hCoV-19/India/GJ-GBRC165/2020,Ahmedabad,EPI_ISL_461500,27/05/2020
hCoV-19/India/GJ-GBRC166a/2020,Ahmedabad,EPI_ISL_461501,27/05/2020
hCoV-19/India/GJ-GBRC167a/2020,Ahmedabad,EPI_ISL_461503,27/05/2020
hCoV-19/India/GJ-GBRC168a/2020,Ahmedabad,EPI_ISL_461505,27/05/2020
hCoV-19/India/GJ-GBRC169a/2020,Gandhinagar,EPI_ISL_467029,05/06/2020
hCoV-19/India/GJ-GBRC170a/2020,Kadi,EPI_ISL_467031,05/06/2020
hCoV-19/India/GJ-GBRC171/2020,Gandhinagar,EPI_ISL_467033,05/06/2020
hCoV-19/India/GJ-GBRC172/2020,Kalol,EPI_ISL_467034,05/06/2020
hCoV-19/India/GJ-GBRC173a/2020,Kalol,EPI_ISL_467035,05/06/2020
hCoV-19/India/GJ-GBRC174a/2020,Gandhinagar,EPI_ISL_467037,05/06/2020
hCoV-19/India/GJ-GBRC175/2020,Vadodara,EPI_ISL_467039,05/06/2020
hCoV-19/India/GJ-GBRC176/2020,Vadodara,EPI_ISL_467040,05/06/2020
hCoV-19/India/GJ-GBRC177a/2020,Ahmedabad,EPI_ISL_467041,03/06/2020
hCoV-19/India/GJ-GBRC178a/2020,Ahmedabad,EPI_ISL_467043,03/06/2020
hCoV-19/India/GJ-GBRC179a/2020,Ahmedabad,EPI_ISL_467045,03/06/2020
hCoV-19/India/GJ-GBRC17a/2020,Ahmedabad,EPI_ISL_437445,26/04/2020
hCoV-19/India/GJ-GBRC18/2020,Ahmedabad,EPI_ISL_437447,26/04/2020
hCoV-19/India/GJ-GBRC180a/2020,Ahmedabad,EPI_ISL_467047,03/06/2020
hCoV-19/India/GJ-GBRC181a/2020,Ahmedabad,EPI_ISL_467049,03/06/2020
hCoV-19/India/GJ-GBRC182a/2020,Ahmedabad,EPI_ISL_467051,03/06/2020
hCoV-19/India/GJ-GBRC183a/2020,Ahmedabad,EPI_ISL_467053,03/06/2020
hCoV-19/India/GJ-GBRC184/2020,Ahmedabad,EPI_ISL_469024,27/05/2020
hCoV-19/India/GJ-GBRC185a/2020,Ahmedabad,EPI_ISL_469025,03/06/2020
hCoV-19/India/GJ-GBRC186a/2020,Ahmedabad,EPI_ISL_469027,03/06/2020
hCoV-19/India/GJ-GBRC187a/2020,Vadodara,EPI_ISL_469029,05/06/2020
hCoV-19/India/GJ-GBRC188/2020,Vadodara,EPI_ISL_469031,05/06/2020
hCoV-19/India/GJ-GBRC189/2020,Vadodara,EPI_ISL_469032,02/06/2020
hCoV-19/India/GJ-GBRC19/2020,Ahmedabad,EPI_ISL_437448,26/04/2020
hCoV-19/India/GJ-GBRC190/2020,Vadodara,EPI_ISL_469033,05/06/2020
hCoV-19/India/GJ-GBRC191a/2020,Vadodara,EPI_ISL_469034,05/06/2020
hCoV-19/India/GJ-GBRC192/2020,Vadodara,EPI_ISL_469036,05/06/2020
hCoV-19/India/GJ-GBRC193a/2020,Vadodara,EPI_ISL_469037,03/06/2020
hCoV-19/India/GJ-GBRC194a/2020,Savli,EPI_ISL_475047,05/06/2020
hCoV-19/India/GJ-GBRC195a/2020,Vadodara,EPI_ISL_469039,08/06/2020
hCoV-19/India/GJ-GBRC196/2020,Vadodara,EPI_ISL_469041,08/06/2020
hCoV-19/India/GJ-GBRC197/2020,Vadodara,EPI_ISL_469042,08/06/2020
hCoV-19/India/GJ-GBRC198/2020,Nadiad,EPI_ISL_469043,08/06/2020
